molecular_weight	gravy	pI	rna_detected_percent	highest_tpm	binary_status
70.1488372	-0.301886792	6.162904167	99.98	468.1106	1
52.3241545	-0.249152542	7.65521183	99.98	151.1673	1
38.5830982	-0.115472779	8.980139732	100	700.5582	1
42.4749844	-0.322764228	6.02160244	94.52	839.1991	1
55.0796115	-0.280543933	8.894138908	99.61	144.6878	1
81.5000673	0.252551724	9.368174934	95.36	1117.9598	1
79.5991151	0.310653409	9.558421135	69.24	47.4833	1
62.6025763	-0.101444043	8.215673637	98.73	704.8399	1
56.2613981	0.095626243	9.211774635	99.65	301.9656	1
30.6322185	0.381118881	9.015081596	100	9313.8082	1
29.2155159	-0.45254902	6.963253975	99.98	863.9749	1
23.3714918	-0.320772947	5.983747673	99	176.5324	1
59.9701153	0.521481481	8.375490761	100	150.6341	1
35.3915375	-0.783116883	6.394466209	85.65	828.1317	1
48.1544967	-0.224590164	7.2103899	99.98	73.3606	1
32.9219471	-0.661245675	6.150683784	99.96	2373.7358	1
24.3060041	-0.686160714	6.003925514	100	337.3874	1
54.0379305	-0.28115942	5.453098869	99.7	193.0613	1
16.341399	-0.625714286	5.536026955	99.63	984.6422	1
46.492508	-0.368809524	9.214998055	99.75	117.6733	1
68.9992943	-0.10664557	5.703360939	99.96	203.6187	1
22.9888583	-0.497073171	6.775060081	99.89	445.3335	1
128.0318944	0.079882649	5.223241997	99.98	224.0801	1
31.6598174	0.021355932	5.273032951	100	330.2143	1
25.9121134	-0.022978723	9.778258324	100	289.2226	1
61.92341	-0.014634146	8.148690987	99.98	81.1427	1
16.9418281	-0.475	4.975935555	99.1	67.4693	1
38.0222061	-0.172886297	8.766684914	99.7	50.5124	1
67.1919132	-0.393155259	7.978752327	99.77	34.9624	1
83.2464775	-0.00620155	8.434930611	99.44	495.2193	1
39.6700525	-0.128328612	4.73158474	100	101.7499	1
64.6718977	-0.277622378	4.923530006	99.95	153.2297	1
65.2593656	-0.762241379	6.683378792	99.98	58.4585	1
17.5027686	-0.3125	8.442408943	99.95	352.7482	1
98.4214607	-0.414988814	6.58055706	99.96	60.5848	1
194.9403616	-0.122	5.433318901	99.98	194.0995	1
46.076897	-0.120293399	6.57549839	99.88	98.6314	1
60.1021357	-0.219038817	9.005669212	42.9	2733.6196	1
48.1325896	-0.206221198	9.942846107	99.95	1489.8355	1
76.1070094	-0.487072808	7.990163231	99.98	80.6731	1
71.3650473	-0.237071651	6.177227592	99.98	65.4386	1
43.6166371	-0.22835443	6.009382057	99.84	3407.9485	1
80.8308547	-0.131549296	8.684036446	99.77	52.7377	1
36.8266421	-0.872072072	9.01134243	73.88	441.3008	1
14.7293262	-0.883206107	8.948356819	80.35	232.7926	1
269.8840912	-0.095804196	5.391542244	100	213.806	1
29.4685058	-0.396923077	5.498115349	100	385.9321	1
37.549214	-0.249698795	5.764633369	100	180.3525	1
79.1787573	-0.704267425	7.360672188	100	233.0868	1
67.7010775	-0.39180602	5.902581596	100	254.5318	1
22.6482232	-0.373891626	5.024305534	100	161.6082	1
17.4576619	-0.403333333	5.436558723	100	3525.6879	1
56.8031062	0.309330629	9.217899132	99.96	119.4184	1
59.8821323	-0.329961832	8.23630352	99.96	342.9341	1
8.0610238	-0.88028169	8.962797737	99.95	333.1082	1
39.7918879	-0.277384196	7.14627552	100	440.3187	1
24.787292	0.116814159	7.050388145	99.88	488.7892	1
72.0917031	-0.046092504	7.43535862	77.19	544.9344	1
72.4049342	-0.01696	8.218445778	98.87	1271.0901	1
54.7234691	0.462948207	7.008952522	100	97.7773	1
55.4736249	-0.293595041	7.67544651	100	380.3781	1
32.9247746	-0.13973064	9.108625221	99.98	408.9718	1
42.2628075	-0.058047493	6.739763069	98.73	176.2753	1
40.0328597	-0.216574586	6.453351402	100	601.7736	1
46.2898051	-0.252068127	5.695687675	85.37	400.2006	1
32.3488622	-1.182437276	6.354735756	100	207.776	1
23.4408863	0.11826484	8.731678581	96.83	2221.9826	1
36.3167641	-0.406790123	9.25187397	89.81	905.5289	1
60.352547	-0.323277467	5.978632164	99.91	219.2088	1
59.9673946	0.071509434	9.437220573	98.54	290.6881	1
36.837529	-0.32006079	6.406402397	98.52	486.6231	1
32.6042299	-0.501045296	8.133283043	100	126.881	1
56.5559797	-0.221792261	7.932915306	99.56	59.2743	1
21.2528283	-0.345789474	5.491180992	99.84	120.6368	1
16.8174575	-1.255633803	5.019758415	87.57	574.8581	1
53.4623212	-0.379633401	5.995570183	96.03	43.1304	1
24.5843301	-0.035	9.913384056	96.9	311.7004	1
25.0368164	-0.179452055	9.943103981	99.91	228.3895	1
43.1575531	-0.30610687	5.507266426	100	10801.4857	1
137.6650767	0.147339593	7.570919609	98.25	2204.7486	1
136.7720008	0.180597015	7.818870735	89.19	173.9594	1
32.3555267	-0.197651007	8.346995735	100	659.9408	1
13.8257845	0.036885246	4.950130653	77.82	229.5894	1
82.9839264	-0.082682292	8.622855949	99.89	1357.7992	1
78.34515	-0.305469846	5.169244957	99.98	935.4517	1
14.2540885	-0.603968254	5.754118156	99.98	249.0294	1
59.3882259	-0.358736059	5.035161781	99.91	543.6495	1
27.4550791	-0.925506073	5.197834969	93.21	1554.8546	1
132.5850221	-0.276291279	8.000542641	99.42	724.6794	1
37.6284346	-0.63088685	5.778615761	99.96	40.0812	1
25.1053615	-0.843891403	4.780352592	99.96	133.4114	1
36.0657099	-0.345886076	5.120761299	91.79	267.0473	1
24.6060358	-0.989252336	11.35341434	100	11734.9588	1
44.4293371	0.024881517	8.511647987	21.63	14254.6989	1
55.4180892	-0.254491018	8.032003212	89.83	257.5428	1
63.9513851	-0.209326425	8.903035545	94.25	737.6795	1
16.8482742	0.123489933	9.251809502	36.26	8118.3283	1
18.496008	0.174096386	5.080405617	99.98	211.7776	1
9.8270063	-0.491208791	9.394993782	93.42	1080.1189	1
14.4504085	-0.560629921	9.757563972	32.05	21.1718	1
33.7288242	-1.250825083	11.06053448	100	547.6545	1
55.5030272	-0.223742455	6.010461998	97.83	568.1214	1
22.1030434	-0.842487047	9.588205528	99.98	396.4196	1
29.8785994	-0.235955056	5.311001396	99.98	188.9879	1
135.9883525	-0.381380417	5.697051811	100	210.9731	1
12.9664866	-0.205833333	8.247907829	96.42	1917.8125	1
50.7384295	-0.350110375	9.371785164	100	134.9076	1
23.5978198	-0.212440191	6.14363575	94.31	10153.0227	1
23.4856288	-0.21875	5.800726128	99.44	12774.5491	1
29.8489169	-0.53125	9.264445305	75.23	132.5944	1
28.5305605	-0.513168724	8.814133644	96.55	210.8349	1
51.0681014	-0.654329004	4.879025078	100	101.7697	1
56.5295897	-0.588	8.350992775	98.45	40.1802	1
85.9638987	-0.402830189	7.25989666	59.18	256.5856	1
140.7796273	-0.820500782	8.170030022	100	59.4118	1
103.044036	-0.195749203	5.78878994	99.96	50.4412	1
71.1589623	-0.21466877	8.866675377	89.49	25.4134	1
34.0566398	-0.328571429	7.054253197	99.96	73.8873	1
32.7038185	-0.42615894	6.140964317	100	165.3091	1
66.970409	-0.524040067	4.839976692	43.68	1690.103	1
29.7948241	-0.358333333	8.935463142	94.87	87.4337	1
400.889339	-0.145292974	5.747809029	100	175.7284	1
198.5476526	-0.702827467	5.014813423	100	512.3238	1
80.4503565	-0.284877384	6.420043755	99.96	1654.9096	1
89.2380729	-0.241614124	8.943392754	99.72	129.4404	1
17.6639613	0.260818713	8.692933083	10.74	825.3148	1
46.4432741	-0.06206089	5.423144722	99.91	213.7574	1
18.9414281	-0.564285714	4.576414299	94.41	211.0884	1
22.3063414	-0.387745098	9.784511757	99.91	8202.8318	1
47.8809567	-0.803333333	9.094184303	100	258.2432	1
20.3951799	-0.450574713	7.800045967	99.96	93.3381	1
100.7292875	-0.102741228	5.717741203	100	74.9748	1
30.012392	-0.332830189	9.241172218	99.93	56.5423	1
86.2345414	-0.145382586	7.228464699	100	45.5541	1
31.7097239	-0.027272727	4.869646645	99.96	338.8884	1
45.7168269	0.236258661	8.968986702	100	4225.379	1
46.1475526	0.232258065	9.332201576	100	786.1728	1
27.7191963	-0.502857143	6.546510506	100	132.6153	1
29.5489793	0.762043796	8.574117851	100	43.8327	1
54.6610576	0.182765531	6.442040443	99.77	63.7636	1
54.1229836	-0.865762004	5.018792152	100	131.8887	1
63.3267335	-0.538353765	4.658262444	99.86	143.6541	1
98.882731	-0.272675737	5.645328331	99.95	182.6486	1
10.6941221	-0.261290323	6.820872307	100	283.3713	1
51.8948933	-1.011914894	4.236232948	100	306.2488	1
36.5734226	-0.34689441	6.844403648	99.91	150.8543	1
91.5361872	-0.646780073	8.805881691	99.98	116.8819	1
114.2032269	-0.288431373	5.470377922	100	250.2558	1
104.5765518	-0.32168926	6.5524786	100	168.0383	1
52.0854618	-0.131887202	6.857703972	33.95	68.8771	1
39.1302025	-0.220797721	5.781002998	97.6	234.1136	1
44.8453209	-0.225125628	7.20419445	99.56	210.1868	1
17.9252074	-0.306369427	4.999864769	99.98	122.7157	1
43.5939443	0.158942065	8.776935387	99.91	125.2335	1
87.7877624	-0.262168979	4.852651787	81.3	81.8851	1
48.5699748	-0.399771689	8.855135536	99.86	65.2776	1
31.4806597	-0.991078067	4.964624596	99.91	261.9793	1
43.7956872	-0.543782383	6.23639698	99.98	472.2937	1
38.4626742	-0.06416185	6.211956215	99.72	435.4869	1
47.5763915	0.021445221	6.891068459	99.59	38.3104	1
51.5032186	-0.35704698	8.735804558	99.96	61.3435	1
88.8371991	-0.908988764	4.25186367	99.98	254.7417	1
67.4011279	-0.042200328	8.749020576	99.33	77.9416	1
31.8726379	0.119787986	6.604599953	99.98	264.8134	1
74.62766	-0.186969697	8.071264458	99.91	71.1471	1
50.9749464	-0.421861472	5.237906456	100	119.0456	1
18.8344308	-0.251724138	9.881020927	99.89	1289.9719	1
35.7737531	-0.556168831	5.223412514	100	379.8593	1
30.546839	-0.378490566	7.671695137	97.87	218.1658	1
43.8824271	-0.351371571	9.184117699	98.89	1058.7396	1
19.6643625	-0.129050279	9.135573006	99.98	1378.2061	1
42.9168488	-0.255905512	8.4708395	99.98	53.5388	1
23.4337034	-0.929207921	4.705325127	84.65	2563.5286	1
18.3687956	0.789221557	10.33030109	100	1025.6272	1
84.4763183	-0.702162162	9.484991646	100	599.8215	1
98.4852831	-0.512296984	6.534574318	99.98	79.3366	1
44.0551796	-0.895907928	4.974685097	99.91	124.7123	1
52.7569623	-0.929487179	5.358234596	99.88	67.3204	1
86.4769654	-0.894722955	9.568155861	99.1	165.6684	1
43.6140522	-0.717811705	8.119228935	61.15	1450.2724	1
15.6689798	-0.137762238	9.465715599	11.85	31.6851	1
25.204829	-1.168018018	4.521337318	97.8	870.173	1
112.4997574	-0.641271443	5.575530052	99.95	55.3327	1
55.8255308	-0.662648221	8.636652184	97.46	85.7462	1
31.8102442	-0.154545455	9.393188667	99.98	350.9101	1
26.1146416	0.000404858	8.925341606	99.54	5988.8462	1
50.55769	-0.34989011	6.525991631	26.62	47233.9551	1
49.6742527	-0.273170732	5.474129295	14.21	10002.4742	1
29.7949093	-0.676102941	6.045588493	100	360.4644	1
32.420872	-0.182413793	6.083613777	99.82	53.5129	1
78.2847931	-1.080208333	6.176716042	100	142.2824	1
65.0287133	-0.754481547	6.108054543	98.17	964.3698	1
53.0012535	-0.66581741	9.977981377	100	159.5511	1
51.9251756	-0.143923241	6.625118828	99.88	303.7161	1
23.0259681	-0.684761905	6.866400337	99.91	71.5059	1
61.2377936	-0.387712665	4.833383369	99.96	60.3421	1
30.5858655	-0.892962963	5.677669716	100	350.5828	1
54.2887892	-0.272362869	6.299204063	94.96	43.745	1
83.8627908	-0.212664908	8.536081505	99.74	177.763	1
16.8531637	-0.653947368	9.830735588	100	462.0429	1
71.6868517	-0.258293839	5.939640617	99.96	40.8016	1
79.5610289	-0.582889201	6.533608055	98.75	82.5548	1
49.0160338	-1.091935484	5.124171638	99.77	80.6677	1
31.0955004	-0.364944649	9.218285942	99.61	1742.1584	1
82.7519493	-0.533787466	5.089840889	99.89	80.2363	1
9.9395331	0.221276596	8.818453026	99.79	219.5892	1
85.2410048	-0.408854167	4.902044868	100	178.0376	1
64.1962277	-0.272902098	5.810672951	98.34	32.354	1
83.7749128	-0.07316129	9.150529671	91.79	38.3168	1
168.5723668	0.208850727	7.638387489	99.98	363.9055	1
40.5095529	-0.567222222	5.803227043	99.95	83.0419	1
85.6743169	-0.280253165	7.416317558	100	202.5373	1
113.9322261	-0.293577075	9.512713051	74.65	114.089	1
169.4914739	-0.325866667	7.911447334	100	59.8758	1
50.8528365	-0.019354839	8.962475395	100	364.4547	1
37.1798728	-0.612195122	8.917669868	99.98	144.989	1
82.6421784	-0.122677596	5.478051186	100	122.9283	1
125.1561167	-0.389928058	5.785720634	100	125.1669	1
59.5271609	-0.111742424	9.298806953	99.47	369.2635	1
37.1491619	-1.153230769	10.3119276	99.95	48.9347	1
25.2877479	-0.476855895	6.744480705	99.63	904.0436	1
19.3250589	0.659340659	4.610801888	100	266.1136	1
17.129034	-0.353947368	10.33964901	100	4033.5018	1
59.9766155	-0.439513109	6.105042076	99.98	196.8272	1
16.8863882	-0.026451613	7.854134941	99.96	150.9119	1
119.6534274	-0.797486034	6.023478127	100	301.0404	1
72.1916811	0.060775194	6.075713158	99.93	121.7887	1
40.7961029	-0.248055556	5.613214302	99.58	272.7722	1
42.6156737	-0.431233596	7.520162392	98.55	90.7869	1
38.6175885	-0.229275362	5.445027733	85.53	366.3422	1
112.3716423	0.032934132	6.204680824	99.96	75.2842	1
69.4562014	-0.344281046	5.685911369	100	398.4839	1
35.5705701	0.012650602	6.10873661	100	2096.9473	1
46.4265382	-0.281553398	8.694673729	99.96	360.893	1
70.5074374	-0.405136437	6.149092293	100	420.5369	1
53.2039372	-0.578205128	9.84820652	100	238.0164	1
24.2555509	-1.198636364	9.677752113	14.52	135.3728	1
115.4719068	-0.274202899	6.473358727	42.31	1281.0057	1
15.026627	-0.183571429	10.48038349	100	1907.8452	1
56.8653669	-0.307648184	6.160289574	100	191.6968	1
32.7638844	0.0247557	8.32488308	99.47	197.4022	1
34.552535	-0.597741935	4.30250721	100	375.1974	1
66.8145426	-0.678202995	9.919379616	99.26	1566.9295	1
26.2856721	-0.579079498	9.296872902	99.91	2931.3886	1
19.8458967	0.45	9.743187523	45.13	15564.1967	1
147.3019932	-0.081002244	5.927988625	82.43	456.5601	1
43.0423751	-0.616010499	8.761914253	99.96	60.7534	1
196.11954	-0.538323699	5.435535622	98.36	30.6104	1
48.7466572	-0.231578947	9.183473015	79.31	874.4842	1
51.6608788	-0.294372294	8.365627098	99.84	109.3828	1
16.1254208	-0.487412587	9.184568977	100	333.1952	1
17.0167666	-0.027152318	7.518684578	99.61	202.4803	1
26.4209365	-0.302978723	6.511440849	99.81	182.6322	1
14.9031454	-0.18125	8.474385262	24.06	881.6641	1
112.7210631	-0.033701103	5.84841404	99.77	31.6255	1
18.311724	0.546226415	8.908128548	83.29	11207.8277	1
13.4501756	-0.523015873	9.300612068	20.92	254.6369	1
47.7702839	-0.367517401	8.025105095	99.75	347.6235	1
36.5382158	-0.282926829	6.968198967	100	345.4285	1
118.0051647	-0.712859885	6.044565392	99.88	192.8549	1
46.6107745	-0.061173815	8.594489861	99.96	95.9249	1
107.018584	-0.517815483	6.879814339	99.7	47.3767	1
24.7645951	-0.115525114	8.956608772	100	346.9057	1
24.8726453	-0.193636364	9.128868294	98.7	111.3186	1
74.3589326	-0.673042169	8.326107979	100	343.3061	1
71.4923954	-0.941324921	8.878344154	100	52.0656	1
18.0448429	0.0075	6.970131493	91.13	795.1996	1
108.8646439	-0.058241758	5.192264748	100	405.1597	1
49.5403184	-0.194888889	4.925121498	100	2299.87	1
51.0945381	-0.416294643	7.703183937	100	83.4483	1
75.1045846	-0.198045113	8.761076164	99.63	44.8969	1
46.6025755	-0.752784504	5.907526588	100	348.6006	1
105.1511739	-0.592403746	5.150374413	100	75.1826	1
43.1291856	-0.402872063	5.192548943	100	288.9751	1
50.0036257	-0.657589286	5.435024071	94.8	256.7046	1
47.3627327	-0.974695864	6.678945351	9.71	68.185	1
50.6038916	-0.370588235	8.626917458	99.93	53.5788	1
59.0421804	-0.437764933	9.414011955	99.98	70.4447	1
119.4744043	-0.477777778	5.907071877	98.55	75.542	1
36.793338	-0.735240964	10.19743176	99.98	40.45	1
73.7376836	-0.32484472	7.205785942	99.91	60.9167	1
61.3639482	-0.241347905	7.023844337	100	59.5697	1
34.3579311	-0.112618297	6.537927818	99.98	142.788	1
53.4927944	0.214344262	4.646439934	100	211.338	1
48.4025804	-0.2901566	6.093162727	99.86	327.4861	1
21.9241651	-0.516580311	10.9774992	100	113.3289	1
44.7039872	-0.663118812	8.401535988	100	235.5189	1
24.5369821	-0.210697674	7.618493843	99.52	149.5298	1
36.6764745	-0.478328173	5.241203117	99.84	4054.7908	1
72.1711064	-0.427258806	4.939217567	97.73	78.5321	1
57.2018027	0.392748092	8.925212669	99.95	40.89	1
18.7534769	-0.778915663	4.978379631	33.99	12.1171	1
46.9775477	-0.234679335	6.148182869	99.89	57.8057	1
27.8374337	-0.543478261	9.373848152	99.98	356.8174	1
20.263786	-0.577173913	6.141305351	99.98	127.5995	1
49.8832372	0.089977221	4.57578907	17.22	38.7145	1
94.5872474	-0.39759904	8.362274742	100	198.6265	1
47.7744855	0.178231293	9.060660744	99.93	270.2581	1
90.1683218	-0.419306931	6.313811684	100	255.4613	1
56.4084973	-0.259183673	8.578372765	99.95	103.1753	1
46.1611955	-0.454791155	8.977238655	99.93	201.9364	1
60.034121	-0.181481481	5.653967857	100	74.2925	1
24.7053173	-0.435426009	9.8912714	99.98	1994.8464	1
107.2053342	-0.069864442	8.448275566	99.79	189.9976	1
10.6760865	-1.083516484	6.749425697	99.95	163.7093	1
79.422716	-0.394313454	5.597185707	100	121.5502	1
35.6239667	-0.049230769	9.352251244	67	65.9846	1
34.9053089	0.006441718	8.738834572	91.59	4960.3605	1
40.7412511	-0.041509434	4.889483452	100	81.9942	1
56.3573567	-0.267820774	8.858681297	55.35	134.1651	1
43.3494175	-0.221374046	8.224892616	93.6	53.2689	1
89.4502248	-0.818227848	4.912219048	99.95	178.3137	1
47.0196736	-0.213457077	4.584087563	100	99.7751	1
46.6180325	0.285576923	9.00457325	99.95	74.7237	1
47.4979234	-0.283213429	9.774325752	99.01	35.7019	1
126.3574257	-0.687697715	8.697961617	100	233.2682	1
22.2670489	-0.579396985	8.426872063	99.93	262.8376	1
53.3682304	-0.469426752	5.301338768	99.95	89.0644	1
29.8613542	-0.627509294	9.764139748	99.96	116.1115	1
20.6212696	0.198536585	6.499277306	65.56	2296.2578	1
113.3616993	-0.589021956	4.960930061	99.88	149.4302	1
70.8520994	-0.87082658	9.377716255	99.81	131.5577	1
158.7215014	-0.674964539	5.756505394	98.24	261.5767	1
62.9280251	-0.0625	5.623104286	100	92.8816	1
27.2930339	-0.410373444	6.220425224	47.29	8455.8821	1
86.3561663	-0.126947637	5.411038017	100	450.9643	1
51.1895472	-0.176263736	5.161969566	70.25	229.5875	1
41.7940483	-0.296457766	5.270759392	96.1	190.3279	1
52.812852	-0.210234542	5.529035759	99.81	2026.1112	1
225.7582905	-0.086974359	9.056470299	100	237.0881	1
41.6384657	-0.816666667	9.389385033	76.4	59.2637	1
95.866381	0.246251442	6.015804863	17.8	1472.9463	1
64.9903657	-0.145	5.949246407	99.98	67.4403	1
34.6674601	0.134161491	5.0239645	99.96	161.5836	1
125.6961471	-0.344542254	5.99125042	99.95	70.7645	1
68.6971712	-0.106060606	9.621858025	99.72	68.1163	1
41.5709222	0.060152284	9.390416527	44.16	595.9616	1
41.8533866	0.056345178	9.330976677	48.48	478.6063	1
84.5513568	-0.082186235	8.507328606	99.96	163.2701	1
51.1712175	-0.18785872	5.999378395	88.95	2480.9783	1
51.0501369	-0.16799117	5.592297554	94.87	7218.9456	1
94.9795541	-0.192840376	6.463127708	74.58	142.6553	1
16.6107026	-0.399328859	6.296646309	99.95	230.1769	1
18.5734068	-0.208588957	5.074664879	99.98	167.8343	1
17.1221205	-0.586577181	5.512722969	99.19	113.752	1
20.1723029	-0.282608696	5.907583427	90.46	75.5998	1
81.1661305	-0.05401662	5.579963493	99.96	46.3891	1
38.9507825	-0.831491713	7.073294258	99.59	125.5139	1
24.209721	-0.346788991	4.894371605	99.88	395.5996	1
58.7275469	0.458768657	7.408757973	99.81	132.083	1
123.2853109	-0.550046168	8.193754387	99.98	66.5715	1
14.2205778	0.002362205	9.382357979	98.87	452.2272	1
53.2964939	0.004948454	5.747126961	100	180.3908	1
35.5790864	-0.202492212	7.492481804	100	3659.1945	1
31.1758435	-0.880714286	9.614766502	99.98	137.6826	1
62.4590317	-0.657971014	5.121329689	100	225.1296	1
34.49426	-0.388853503	9.322273445	100	126.3895	1
133.7823322	-0.626942149	5.592354393	100	64.6022	1
60.1755577	0.75254833	7.554891014	100	150.3573	1
70.1249956	-0.46969697	5.946347618	99.72	164.9852	1
108.9443077	-0.203156823	5.536822701	100	246.6745	1
22.6541489	-0.455555556	9.517419243	99.95	92.7979	1
48.1216481	-0.034252874	5.766168022	99.98	1757.0284	1
8.6918171	-0.491025641	4.761254692	100	76.7089	1
37.6277014	-0.10173913	5.513064003	77.79	35.4149	1
35.8923816	-0.123708207	4.925121498	64.25	67.163	1
27.6407417	-0.526209677	5.421723747	100	999.4381	1
34.850142	-0.32971246	5.428828621	99.96	60.5232	1
24.5558389	-0.41314554	5.767020607	99.98	111.3359	1
47.1304136	-1.012529551	5.971470451	100	109.0026	1
36.1061555	-0.201311475	9.38113308	93.07	462.6164	1
48.9753297	-0.151376147	5.40637722	100	227.8727	1
36.6244962	-0.214803625	8.352604485	100	119.655	1
62.3778441	0.039426523	8.409787941	99.45	15.4637	1
65.0684644	0.003292894	6.231110954	99.67	47.8819	1
81.0141297	-0.37520436	5.718877983	99.96	129.7472	1
44.5291287	-0.976558603	5.059147835	100	316.9421	1
23.2492974	-0.336893204	5.4581007	100	333.5991	1
42.7965056	-0.786422977	4.713964653	99.98	211.1525	1
110.4404265	-0.263221884	5.048462105	100	231.5608	1
84.0936088	-0.773498695	5.22983532	100	983.5015	1
42.2692846	-0.314360313	6.430615807	99.95	62.6171	1
48.1219296	-0.429550827	5.959079552	99.82	86.6043	1
37.7695043	-0.225072886	7.508737755	99.28	1221.7061	1
75.675436	-0.260444444	8.165581703	100	394.0225	1
75.8988749	-0.263851852	7.927499962	76.8	23.5572	1
35.4315708	-0.053	9.430838203	87.47	1578.3132	1
28.7144463	-0.255511811	9.484282494	99.91	96.0907	1
46.0236733	-0.252334152	8.625047874	100	123.9563	1
23.9268428	-0.305092593	6.453806114	100	281.8402	1
96.6873888	-0.263219741	5.591615486	100	432.9345	1
25.8513452	-1.266515837	9.811266136	95.98	220.996	1
73.1975994	-0.125255474	5.716547585	100	781.6643	1
44.6913337	-0.250769231	9.167162514	99.72	22.9929	1
40.477515	-0.179722222	5.894567299	99.89	125.116	1
31.2218978	-0.343508772	9.377329445	99.96	870.677	1
46.4515185	0.364492754	4.988781166	100	131.7645	1
228.0295627	-0.148008172	8.498238564	99.88	158.4333	1
14.6871207	-0.695588235	7.915766716	99.98	116.3573	1
30.8073319	-0.425270758	5.061023521	99.93	89.862	1
66.5135872	-0.01982906	9.242268181	98.17	991.4214	1
36.1188773	-0.843653251	4.770405769	4.27	0.5803	1
13.0305332	-0.1896	5.299235725	87.15	315.0025	1
43.2567885	-0.309560724	5.395236778	100	777.6127	1
65.5117882	-0.302337229	6.623072624	99.89	60.5143	1
48.8153906	-0.284269663	5.468274879	99.91	2532.4444	1
101.0385128	-0.016812227	5.806410027	99.98	31.1642	1
40.3506777	-0.168767123	5.167482948	98.61	516.9857	1
53.1740321	-0.180712788	5.30963726	100	116.4364	1
41.7444965	-0.276422764	6.23867054	99.59	1420.9841	1
42.0196973	-0.340921409	6.195018196	99.95	301.5223	1
53.141501	-0.630977131	5.362668037	98.52	88.515	1
174.5079123	-0.565862944	6.369570732	100	212.0094	1
28.0948952	-0.343726236	6.902720451	99.96	10466.8318	1
41.4965148	-0.275596817	8.851718712	99.89	180.3923	1
39.8191586	-0.325207756	7.138886452	100	373.2824	1
112.765314	-0.063791374	5.981303596	99.79	64.0419	1
134.4292535	-0.88306383	7.809136009	100	189.5163	1
52.7619688	0.020901639	5.889508629	99.98	117.7819	1
82.3589206	-0.451101928	5.9833498	99.52	39.7078	1
59.0913975	-0.329479769	9.124162102	93.27	39.1307	1
28.9462205	-0.570437956	10.76578503	100	1709.8063	1
47.3274884	-0.80807601	9.575892067	99.96	69.9849	1
67.5357638	-0.399151104	9.395702934	100	146.327	1
23.0360261	-0.14754902	4.49030323	99.95	68.1896	1
58.4444761	-0.521941748	8.78596096	99.88	105.6934	1
65.427675	-0.078151261	8.330362892	99.98	60.6547	1
105.6234723	-0.150472193	6.402196312	100	361.5883	1
37.0538869	-0.734421365	5.353175926	99.79	192.3118	1
40.1495919	-0.047411444	6.54230442	100	352.0855	1
39.0375734	0.589355742	9.045446205	99.98	337.4378	1
117.1709088	-0.456542969	4.773134041	100	103.0607	1
44.3438399	-0.714615385	5.277750587	99.93	44.5788	1
112.1192271	-0.300885827	5.725641823	100	344.0068	1
92.1585434	0.335343788	6.564357948	73.74	58.1649	1
